year,month,indicator,value,unit,remarks
2025,1,Energy Consumption (GRI 302),9670.88,kWh,Normal production fluctuation
2025,2,Energy Consumption (GRI 302),13286.3,kWh,Normal production fluctuation
2025,3,Energy Consumption (GRI 302),11913.85,kWh,Normal production fluctuation
2025,4,Energy Consumption (GRI 302),11077.19,kWh,Normal production fluctuation
2025,5,Energy Consumption (GRI 302),8299.68,kWh,Normal production fluctuation
2025,6,Energy Consumption (GRI 302),8299.53,kWh,Normal production fluctuation
2025,7,Energy Consumption (GRI 302),7685.15,kWh,Normal production fluctuation
2025,8,Energy Consumption (GRI 302),12755.83,kWh,Normal production fluctuation
2025,9,Energy Consumption (GRI 302),11092.61,kWh,Normal production fluctuation
2025,10,Energy Consumption (GRI 302),11763.75,kWh,Normal production fluctuation
2025,11,Energy Consumption (GRI 302),7449.85,kWh,Normal production fluctuation
2025,12,Energy Consumption (GRI 302),13406.75,kWh,Normal production fluctuation
